L
"(0,0),(1,0),(2,0),(0,1),(0,2)"
"(0,0),(0,1),(0,2),(1,2),(2,2)"
"(2,0),(2,1),(0,2),(1,2),(2,2)"
"(0,0),(1,0),(2,0),(2,1),(2,2)"

Zee
"(0,0),(1,0),(1,1),(1,2),(2,2)"
"(2,0),(0,1),(1,1),(2,1),(0,2)"
"(1,0),(2,0),(1,1),(0,2),(1,2)"
"(0,0),(0,1),(1,1),(2,1),(2,2)"

line
"(0,0),(0,1),(0,2),(0,3),(0,4)"
"(0,0),(1,0),(2,0),(3,0),(4,0)"

u
"(0,0),(1,0),(0,1),(0,2),(1,2)"
"(0,0),(2,0),(0,1),(1,1),(2,1)"
"(0,0),(1,0),(1,1),(0,2),(1,2)"
"(0,0),(1,0),(2,0),(0,1),(2,1)"

fatSquirrel
"(0,0),(1,0),(0,1),(1,1),(1,2)"
"(0,0),(1,0),(0,1),(1,1),(0,2)"
"(0,0),(1,0),(0,1),(1,1),(2,1)"
"(1,0),(2,0),(0,1),(1,1),(2,1)"
"(0,0),(0,1),(1,1),(0,2),(1,2)"
"(1,0),(0,1),(1,1),(0,2),(1,2)"
"(0,0),(1,0),(2,0),(1,1),(2,1)"
"(0,0),(1,0),(2,0),(0,1),(1,1)"

plus
"(1,0),(0,1),(1,1),(2,1),(1,2)"

T
"(1,0),(1,1),(0,2),(1,2),(2,2)"
"(2,0),(0,1),(1,1),(1,2),(2,2)"
"(0,0),(1,0),(2,0),(1,1),(1,2)"
"(0,0),(0,1),(1,1),(2,1),(0,2)"

f
"(0,0),(0,1),(1,1),(0,2)"
"(1,0),(0,1),(1,1),(1,2)"
"(1,0),(0,1),(1,1),(2,1)"
"(0,0),(1,0),(2,0),(1,1)"

corner
"(0,0),(1,0),(0,1)"
"(0,0),(0,1),(1,1)"
"(1,0),(0,1),(1,1)"
"(1,0),(0,1),(1,1)"
"(0,0),(1,0),(1,1)"

delta
"(0,0),(0,1),(1,1),(0,2),(0,3)"
"(1,0),(0,1),(1,1),(1,2),(1,3)"
"(1,0),(0,1),(1,1),(2,1),(3,1)"
"(2,0),(0,1),(1,1),(2,1),(3,1)"
"(1,0),(1,1),(0,2),(1,2),(1,3)"
"(1,0),(0,1),(1,1),(1,2),(1,3)"
"(0,0),(1,0),(2,0),(3,0),(1,1)"
"(0,0),(1,0),(2,0),(3,0),(2,1)"
End
